name,collection,module,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,spool,spin
engine_l_case_outer_fwd,08 Engine port,engines,casing,8320,8320,10815.0,11750.0,-1246.0,-354.0,-446.0,446.0,,
engine_l_case_ribs,08 Engine port,engines,casing,7936,7776,10836.0,13226.0,-1276.0,-324.0,-476.0,476.0,,
engine_l_case_turbine,08 Engine port,engines,casing,13440,13440,12076.0,12410.0,-1182.0,-418.0,-382.0,382.0,,
engine_l_cdfs_blisk,08 Engine port,engines,titanium,12584,11720,10936.0,11036.1,-1181.8,-418.2,-381.8,381.8,hp,-1.0
engine_l_combustor_dome,08 Engine port,engines,nickel_hot,1808,1192,11820.0,11830.0,-1145.8,-454.1,-345.8,345.8,,
engine_l_combustor_inner_case,08 Engine port,engines,nickel,1920,1920,11736.0,12076.0,-1095.0,-505.0,-295.0,295.0,,
engine_l_combustor_liner_inner,08 Engine port,engines,cmc,6680,5952,11820.0,12076.0,-1062.0,-538.0,-262.0,262.0,,
engine_l_combustor_liner_outer,08 Engine port,engines,cmc,6664,5944,11820.0,12076.0,-1150.0,-450.0,-350.0,350.0,,
engine_l_combustor_mount_pins,08 Engine port,engines,casing,864,504,11848.0,11860.0,-1175.0,-425.0,-370.3,370.3,,
engine_l_containment_wrap,08 Engine port,engines,composite,7040,7040,10398.0,10728.0,-1258.6,-341.4,-458.6,458.6,,
engine_l_coolant_lines,08 Engine port,engines,copper,732,700,11756.0,12110.0,-694.1,-646.4,428.3,518.4,,
engine_l_core_cowl,08 Engine port,engines,titanium,4800,4800,11170.0,11730.0,-1144.0,-456.0,-344.0,344.0,,
engine_l_core_splitter,08 Engine port,engines,casing,3200,3200,11085.0,11170.0,-1149.0,-451.0,-349.0,349.0,,
engine_l_diffuser,08 Engine port,engines,nickel,16380,14220,11740.0,11768.0,-1111.0,-489.0,-310.9,310.9,,
engine_l_fadec_a,08 Engine port,engines,composite,336,258,11310.0,11650.0,-461.4,-322.9,-340.2,-177.0,,
engine_l_fadec_b,08 Engine port,engines,composite,336,258,11310.0,11650.0,-1277.1,-1138.6,-340.2,-177.0,,
engine_l_fan_blisk_1,08 Engine port,engines,titanium,9332,8900,10382.0,10534.5,-1233.2,-366.8,-434.3,434.3,lp,1.0
engine_l_fan_blisk_2,08 Engine port,engines,titanium,11020,10300,10623.5,10726.5,-1220.4,-379.6,-421.5,421.5,lp,1.0
engine_l_fan_drum,08 Engine port,engines,titanium,3520,3520,10534.5,10623.5,-1018.5,-581.5,-218.5,218.5,lp,1.0
engine_l_fan_frame_hub,08 Engine port,engines,casing,1920,1920,10815.0,10932.0,-1094.0,-506.0,-294.0,294.0,,
engine_l_fan_frame_struts,08 Engine port,engines,casing,1680,1456,10830.0,10930.0,-1229.2,-370.8,-429.2,429.2,,
engine_l_flameholder,08 Engine port,engines,cmc,3136,3072,12789.3,12835.7,-1222.0,-378.0,-422.0,422.0,,
engine_l_flange_fan_aft,08 Engine port,engines,casing,2152,2440,10807.0,10829.0,-1240.0,-360.0,-440.0,440.0,,
engine_l_flange_inlet,08 Engine port,engines,casing,2152,2440,10374.0,10396.0,-1278.0,-322.0,-478.0,478.0,,
engine_l_flange_outer_aft,08 Engine port,engines,inconel,2320,2640,13232.0,13254.0,-1292.0,-308.0,-492.0,492.0,,
engine_l_flange_outer_mid,08 Engine port,engines,casing,2320,2640,11742.0,11764.0,-1282.0,-318.0,-482.0,482.0,,
engine_l_fuel_lines,08 Engine port,engines,steel,1080,1048,11151.0,12469.0,-1017.1,-837.4,-646.2,-440.2,,
engine_l_fuel_manifold,08 Engine port,engines,steel,2240,2240,11780.0,11800.0,-1284.7,-315.3,-484.7,484.7,,
engine_l_fuel_metering_unit,08 Engine port,engines,steel,192,162,11090.0,11250.0,-870.0,-730.0,-628.0,-568.0,,
engine_l_fuel_nozzles,08 Engine port,engines,steel,6048,5796,11770.0,11812.0,-1273.3,-326.7,-479.0,479.0,,
engine_l_fuel_pump,08 Engine port,engines,steel,128,128,10718.0,10776.0,-840.0,-760.0,-568.0,-488.0,,
engine_l_gearbox,08 Engine port,engines,casing,1728,1452,10770.0,11270.0,-919.0,-681.0,-576.0,-448.0,,
engine_l_gearbox_mounts,08 Engine port,engines,casing,96,56,10777.0,11238.0,-878.0,-722.0,-458.0,-405.7,,
engine_l_generator_l,08 Engine port,engines,casing,1440,1440,10990.0,11210.0,-695.0,-561.0,-579.0,-445.0,,
engine_l_generator_r,08 Engine port,engines,casing,1440,1440,10990.0,11210.0,-1039.0,-905.0,-579.0,-445.0,,
engine_l_harness_looms,08 Engine port,engines,rubber,8088,7852,11186.8,13052.3,-1282.1,-317.9,-265.0,473.5,,
engine_l_harnesses,08 Engine port,engines,rubber,168,144,11251.1,11326.9,-1218.6,-381.4,-488.3,-253.5,,
engine_l_hp_front_drum,08 Engine port,engines,titanium,960,960,11012.2,11214.8,-1082.0,-518.0,-282.0,282.0,hp,-1.0
engine_l_hpc_drum,08 Engine port,engines,titanium,18240,18240,11214.8,11797.0,-1095.0,-505.0,-295.0,295.0,hp,-1.0
engine_l_hpt_disc,08 Engine port,engines,nickel,3840,3840,12112.6,12205.2,-1062.0,-538.0,-262.0,262.0,hp,-1.0
engine_l_hydraulic_lines,08 Engine port,engines,steel,5340,5300,10854.0,13223.8,-1223.4,-412.3,-627.7,-309.5,,
engine_l_hydraulic_pump,08 Engine port,engines,steel,128,128,10820.0,10910.0,-838.0,-762.0,-642.0,-566.0,,
engine_l_igniters,08 Engine port,engines,steel,128,72,11839.0,11865.0,-1233.0,-367.0,166.3,255.3,,
engine_l_ignition_exciters,08 Engine port,engines,casing,1008,774,11530.0,12500.0,-1250.5,-349.5,198.2,392.9,,
engine_l_ignition_leads,08 Engine port,engines,steel,1434,1360,11635.2,12856.9,-1248.6,-351.4,230.8,472.6,,
engine_l_inlet_case,08 Engine port,engines,casing,1600,1600,10200.0,10382.0,-1246.0,-354.0,-446.0,446.0,,
engine_l_intermediate_case,08 Engine port,engines,titanium,28800,28800,10815.0,12410.0,-1226.0,-374.0,-426.0,426.0,,
engine_l_line_clamps,08 Engine port,engines,steel,3072,1728,10961.4,13030.9,-1160.9,-439.1,-505.1,463.6,,
engine_l_lpt_disc,08 Engine port,engines,nickel,4000,4000,12331.5,12402.0,-1050.9,-549.1,-250.8,250.8,lp,1.0
engine_l_mixer,08 Engine port,engines,nickel_hot,8832,8832,12410.0,12590.0,-1214.5,-385.5,-414.5,414.5,,
engine_l_mode_valve,08 Engine port,engines,titanium,2400,2352,11008.0,11077.9,-1223.8,-376.2,-423.8,423.8,,
engine_l_mode_valve_actuators,08 Engine port,engines,steel,664,532,10920.0,11084.0,-1155.2,-444.8,300.5,355.2,,
engine_l_mount_aft_lug,08 Engine port,engines,steel,56,36,12495.0,12585.0,-835.0,-765.0,466.9,522.9,,
engine_l_mount_trunnions,08 Engine port,engines,steel,224,120,10836.0,10924.0,-1280.0,-320.0,-44.0,44.0,,
engine_l_nozzle_actuators,08 Engine port,engines,steel,720,408,14316.0,14516.0,-1247.0,-353.0,-447.0,447.0,,
engine_l_nozzle_conv_flaps,08 Engine port,engines,cmc,3136,3072,14490.0,14670.0,-1242.0,-358.0,-442.0,442.0,,
engine_l_nozzle_conv_seals,08 Engine port,engines,cmc,2464,2432,14491.0,14670.0,-1221.8,-378.2,-421.8,421.8,,
engine_l_nozzle_div_flaps,08 Engine port,engines,cmc,3136,3072,14670.0,14890.0,-1165.1,-434.9,-365.1,365.1,,
engine_l_nozzle_div_links,08 Engine port,engines,steel,1152,672,14740.0,14800.0,-1201.5,-398.5,-401.5,401.5,,
engine_l_nozzle_div_seals,08 Engine port,engines,cmc,2464,2432,14671.0,14890.0,-1146.5,-453.5,-346.5,346.5,,
engine_l_nozzle_ext_flaps,08 Engine port,engines,inconel,4320,4288,14490.0,14890.0,-1270.0,-330.0,-470.0,470.0,,
engine_l_nozzle_hinges,08 Engine port,engines,steel,1344,768,14480.0,14680.0,-1272.8,-327.2,-472.8,472.8,,
engine_l_nozzle_static_ring,08 Engine port,engines,inconel,4520,4816,14390.0,14490.0,-1290.0,-310.0,-490.0,490.0,,
engine_l_nozzle_unison_ring,08 Engine port,engines,inconel,1024,864,14508.0,14524.0,-1250.0,-350.0,-450.0,450.0,,
engine_l_oil_lines,08 Engine port,engines,steel,414,382,10839.0,12260.9,-806.0,-794.0,-517.9,-107.0,,
engine_l_oil_tank,08 Engine port,engines,steel,362,396,11266.0,11450.0,-856.0,-744.0,-568.0,-456.0,,
engine_l_sensor_probes,08 Engine port,engines,steel,1736,980,11175.0,13025.0,-1048.3,-551.7,382.2,447.0,,
engine_l_service_struts,08 Engine port,engines,casing,840,728,12225.0,12315.0,-1262.0,-338.0,-462.0,462.0,,
engine_l_shaft_hp,08 Engine port,engines,steel,3328,3256,10860.0,12248.0,-951.0,-649.0,-151.0,151.0,hp,-1.0
engine_l_shaft_lp,08 Engine port,engines,steel,3520,3520,10400.0,12402.0,-862.0,-738.0,-62.0,62.0,lp,1.0
engine_l_spinner,08 Engine port,engines,titanium,4802,4960,10154.0,10382.0,-928.0,-672.0,-128.0,128.0,lp,1.0
engine_l_sump_front,08 Engine port,engines,steel,4160,4160,10609.0,10932.0,-1086.0,-514.0,-286.0,286.0,,
engine_l_sump_rear,08 Engine port,engines,steel,1920,1920,12224.0,12306.0,-1051.8,-548.2,-251.8,251.8,,
engine_l_swirlers,08 Engine port,engines,nickel_hot,5760,5472,11812.0,11838.0,-1120.5,-479.5,-325.0,325.0,,
engine_l_swivel_bearing_1,08 Engine port,engines,steel,1840,1540,13258.0,13282.0,-1310.0,-290.0,-510.0,510.0,,
engine_l_swivel_bearing_2,08 Engine port,engines,steel,1840,1540,13355.4,13784.6,-1270.8,-329.2,-510.0,510.0,,
engine_l_swivel_bearing_3,08 Engine port,engines,steel,1840,1540,13875.4,14304.6,-1270.8,-329.2,-510.0,510.0,,
engine_l_swivel_drive_1,08 Engine port,engines,steel,380,358,13146.0,13281.0,-1217.2,-1114.6,-417.2,-314.6,,
engine_l_swivel_drive_2,08 Engine port,engines,steel,380,358,13641.9,13806.0,-1375.1,-1222.3,-34.0,34.0,,
engine_l_swivel_drive_3,08 Engine port,engines,steel,380,358,14161.9,14326.0,-377.7,-224.9,-34.0,34.0,,
engine_l_swivel_duct_aft,08 Engine port,engines,inconel,14160,14752,13892.7,14390.0,-1290.0,-310.0,-490.0,490.0,,
engine_l_swivel_duct_fwd,08 Engine port,engines,inconel,14160,14752,13270.0,13767.3,-1290.0,-310.0,-490.0,490.0,,
engine_l_swivel_duct_mid,08 Engine port,engines,inconel,14160,14752,13372.7,14287.3,-1279.0,-321.0,-490.0,490.0,,
engine_l_swivel_fixed_ring,08 Engine port,engines,inconel,11080,11312,13240.0,13270.0,-1290.0,-310.0,-490.0,490.0,,
engine_l_swivel_rotary_union,08 Engine port,engines,steel,68,46,13160.0,13226.0,-494.1,-410.3,-389.7,-305.9,,
engine_l_tailcone,08 Engine port,engines,cmc,5122,5280,12406.0,12950.0,-1047.0,-553.0,-247.0,247.0,,
engine_l_tms_hx,08 Engine port,engines,copper,3552,3360,11864.0,12150.0,-1259.6,-340.4,-459.6,459.6,,
engine_l_towershaft,08 Engine port,engines,steel,136,118,10858.0,10902.0,-822.0,-778.0,-502.0,-142.0,,
engine_l_vanes_cdfs,08 Engine port,engines,titanium,16920,15480,11017.4,11085.0,-1182.0,-418.0,-382.0,382.0,,
engine_l_vanes_fan_s1,08 Engine port,engines,titanium,12880,11920,10537.5,10620.5,-1230.1,-369.9,-430.1,430.1,,
engine_l_vanes_fan_s2,08 Engine port,engines,titanium,15688,14440,10729.5,10815.0,-1215.3,-384.7,-415.3,415.3,,
engine_l_vanes_hpc_igv,08 Engine port,engines,nickel,16056,15000,11085.0,11209.1,-1122.0,-478.0,-322.0,322.0,,
engine_l_vanes_hpc_s1,08 Engine port,engines,nickel,14556,13260,11279.7,11334.3,-1118.5,-481.5,-318.3,318.3,,
engine_l_vanes_hpc_s2,08 Engine port,engines,nickel,15640,14200,11395.3,11444.7,-1116.0,-484.0,-316.0,316.0,,
engine_l_vanes_hpc_s3,08 Engine port,engines,nickel,17044,15460,11498.9,11543.0,-1113.8,-486.2,-313.6,313.6,,
engine_l_vanes_hpc_s4,08 Engine port,engines,nickel,18596,16820,11589.5,11628.0,-1112.7,-487.3,-312.6,312.6,,
engine_l_vanes_hpc_s5,08 Engine port,engines,nickel,21872,19760,11668.4,11699.6,-1111.7,-488.3,-311.7,311.7,,
engine_l_vanes_hpt_ngv,08 Engine port,engines,cmc,41464,25264,12076.0,12141.0,-1129.2,-470.8,-329.2,329.2,,
engine_l_vanes_mtf,08 Engine port,engines,nickel_hot,12064,11680,12210.5,12328.5,-1158.0,-442.0,-358.0,358.0,,
engine_l_vsv_actuation,08 Engine port,engines,steel,4472,3514,11178.6,11421.2,-1136.0,-464.0,-336.0,336.0,,
engine_mounts,07 Structure,structure,steel,160,96,10835.0,12556.0,-1563.5,1563.5,-45.0,577.8,,
engine_r_ab_fuel_control,09 Engine starboard,engines,steel,808,734,12470.0,12736.0,549.3,669.3,-525.8,-412.8,,
engine_r_ab_fuel_manifold,09 Engine starboard,engines,steel,6080,5952,12631.0,12739.0,309.0,1291.0,-491.0,491.0,,
engine_r_ab_igniter,09 Engine starboard,engines,steel,96,54,12835.0,12869.0,954.1,1070.5,273.7,457.6,,
engine_r_ab_spray_rings,09 Engine starboard,engines,inconel,8064,7200,12634.0,12740.0,434.0,1166.0,-366.0,366.0,,
engine_r_ab_spraybars,09 Engine starboard,engines,inconel,4096,2496,12634.0,12684.0,324.1,1275.9,-475.9,475.9,,
engine_r_augmentor_case,09 Engine starboard,engines,cmc,5760,5760,12410.0,13240.0,366.0,1234.0,-434.0,434.0,,
engine_r_augmentor_liner,09 Engine starboard,engines,cmc,26560,26560,12590.0,13240.0,372.0,1228.0,-428.0,428.0,,
engine_r_blades_hpc_r1,09 Engine starboard,engines,titanium,8424,7560,11221.4,11270.0,483.2,1116.8,-316.8,316.8,hp,-1.0
engine_r_blades_hpc_r2,09 Engine starboard,engines,titanium,9828,8820,11343.6,11386.0,485.9,1114.1,-314.3,314.3,hp,-1.0
engine_r_blades_hpc_r3,09 Engine starboard,engines,titanium,11232,10080,11453.7,11490.0,488.4,1111.6,-311.6,311.6,hp,-1.0
engine_r_blades_hpc_r4,09 Engine starboard,engines,nickel,12636,11340,11550.7,11582.0,489.8,1110.2,-310.2,310.2,hp,-1.0
engine_r_blades_hpc_r5,09 Engine starboard,engines,nickel,14976,13440,11634.8,11660.0,490.9,1109.1,-309.1,309.1,hp,-1.0
engine_r_blades_hpc_r6,09 Engine starboard,engines,nickel,17784,15960,11707.9,11728.0,491.8,1108.2,-308.2,308.2,hp,-1.0
engine_r_blades_hpt_r,09 Engine starboard,engines,nickel_hot,56280,30744,12150.0,12198.0,468.3,1131.7,-331.7,331.7,hp,-1.0
engine_r_blades_lpt_r,09 Engine starboard,engines,nickel_hot,10764,9660,12337.7,12398.0,435.4,1164.6,-364.9,364.9,lp,1.0
engine_r_brg_1_lp_roller,09 Engine starboard,engines,steel,2030,2180,10609.0,10631.0,700.0,900.0,-100.0,100.0,,
engine_r_brg_2_lp_ball,09 Engine starboard,engines,steel,3290,3440,10832.8,10857.2,700.0,900.0,-100.0,100.0,,
engine_r_brg_3_hp_ball,09 Engine starboard,engines,steel,4228,4448,10905.8,10934.2,642.0,958.0,-158.0,158.0,,
engine_r_brg_4_hp_roller,09 Engine starboard,engines,steel,2430,2660,12224.0,12246.0,644.0,956.0,-156.0,156.0,,
engine_r_brg_5_lp_roller,09 Engine starboard,engines,steel,2080,2240,12284.0,12306.0,702.0,898.0,-98.0,98.0,,
engine_r_case_combustor,09 Engine starboard,engines,casing,14720,14720,11730.0,12076.0,418.0,1182.0,-382.0,382.0,,
engine_r_case_fan,09 Engine starboard,engines,casing,9600,9600,10382.0,10815.0,354.0,1246.0,-446.0,446.0,,
engine_r_case_hpc,09 Engine starboard,engines,casing,9600,9600,11170.0,11730.0,473.0,1127.0,-327.0,327.0,,
engine_r_case_outer_aft,09 Engine starboard,engines,inconel,13120,13120,11750.0,13240.0,330.0,1270.0,-470.0,470.0,,
engine_r_case_outer_fwd,09 Engine starboard,engines,casing,8320,8320,10815.0,11750.0,354.0,1246.0,-446.0,446.0,,
engine_r_case_ribs,09 Engine starboard,engines,casing,7936,7776,10836.0,13226.0,324.0,1276.0,-476.0,476.0,,
engine_r_case_turbine,09 Engine starboard,engines,casing,13440,13440,12076.0,12410.0,418.0,1182.0,-382.0,382.0,,
engine_r_cdfs_blisk,09 Engine starboard,engines,titanium,12584,11720,10936.0,11036.1,418.2,1181.8,-381.8,381.8,hp,-1.0
engine_r_combustor_dome,09 Engine starboard,engines,nickel_hot,1808,1192,11820.0,11830.0,454.1,1145.8,-345.8,345.8,,
engine_r_combustor_inner_case,09 Engine starboard,engines,nickel,1920,1920,11736.0,12076.0,505.0,1095.0,-295.0,295.0,,
engine_r_combustor_liner_inner,09 Engine starboard,engines,cmc,6680,5952,11820.0,12076.0,538.0,1062.0,-262.0,262.0,,
engine_r_combustor_liner_outer,09 Engine starboard,engines,cmc,6664,5944,11820.0,12076.0,450.0,1150.0,-350.0,350.0,,
engine_r_combustor_mount_pins,09 Engine starboard,engines,casing,864,504,11848.0,11860.0,425.0,1175.0,-370.3,370.3,,
engine_r_containment_wrap,09 Engine starboard,engines,composite,7040,7040,10398.0,10728.0,341.4,1258.6,-458.6,458.6,,
engine_r_coolant_lines,09 Engine starboard,engines,copper,732,700,11756.0,12110.0,905.9,953.6,428.3,518.4,,
engine_r_core_cowl,09 Engine starboard,engines,titanium,4800,4800,11170.0,11730.0,456.0,1144.0,-344.0,344.0,,
engine_r_core_splitter,09 Engine starboard,engines,casing,3200,3200,11085.0,11170.0,451.0,1149.0,-349.0,349.0,,
engine_r_diffuser,09 Engine starboard,engines,nickel,16380,14220,11740.0,11768.0,489.0,1111.0,-310.9,310.9,,
engine_r_fadec_a,09 Engine starboard,engines,composite,336,258,11310.0,11650.0,1138.6,1277.1,-340.2,-177.0,,
engine_r_fadec_b,09 Engine starboard,engines,composite,336,258,11310.0,11650.0,322.9,461.4,-340.2,-177.0,,
engine_r_fan_blisk_1,09 Engine starboard,engines,titanium,9332,8900,10382.0,10534.5,366.8,1233.2,-434.3,434.3,lp,1.0
engine_r_fan_blisk_2,09 Engine starboard,engines,titanium,11020,10300,10623.5,10726.5,379.6,1220.4,-421.5,421.5,lp,1.0
engine_r_fan_drum,09 Engine starboard,engines,titanium,3520,3520,10534.5,10623.5,581.5,1018.5,-218.5,218.5,lp,1.0
engine_r_fan_frame_hub,09 Engine starboard,engines,casing,1920,1920,10815.0,10932.0,506.0,1094.0,-294.0,294.0,,
engine_r_fan_frame_struts,09 Engine starboard,engines,casing,1680,1456,10830.0,10930.0,370.8,1229.2,-429.2,429.2,,
engine_r_flameholder,09 Engine starboard,engines,cmc,3136,3072,12789.3,12835.7,378.0,1222.0,-422.0,422.0,,
engine_r_flange_fan_aft,09 Engine starboard,engines,casing,2152,2440,10807.0,10829.0,360.0,1240.0,-440.0,440.0,,
engine_r_flange_inlet,09 Engine starboard,engines,casing,2152,2440,10374.0,10396.0,322.0,1278.0,-478.0,478.0,,
engine_r_flange_outer_aft,09 Engine starboard,engines,inconel,2320,2640,13232.0,13254.0,308.0,1292.0,-492.0,492.0,,
engine_r_flange_outer_mid,09 Engine starboard,engines,casing,2320,2640,11742.0,11764.0,318.0,1282.0,-482.0,482.0,,
engine_r_fuel_lines,09 Engine starboard,engines,steel,1080,1048,11151.0,12469.0,582.9,762.6,-646.2,-440.2,,
engine_r_fuel_manifold,09 Engine starboard,engines,steel,2240,2240,11780.0,11800.0,315.3,1284.7,-484.7,484.7,,
engine_r_fuel_metering_unit,09 Engine starboard,engines,steel,192,162,11090.0,11250.0,730.0,870.0,-628.0,-568.0,,
engine_r_fuel_nozzles,09 Engine starboard,engines,steel,6048,5796,11770.0,11812.0,326.7,1273.3,-479.0,479.0,,
engine_r_fuel_pump,09 Engine starboard,engines,steel,128,128,10718.0,10776.0,760.0,840.0,-568.0,-488.0,,
engine_r_gearbox,09 Engine starboard,engines,casing,1728,1452,10770.0,11270.0,681.0,919.0,-576.0,-448.0,,
engine_r_gearbox_mounts,09 Engine starboard,engines,casing,96,56,10777.0,11238.0,722.0,878.0,-458.0,-405.7,,
engine_r_generator_l,09 Engine starboard,engines,casing,1440,1440,10990.0,11210.0,905.0,1039.0,-579.0,-445.0,,
engine_r_generator_r,09 Engine starboard,engines,casing,1440,1440,10990.0,11210.0,561.0,695.0,-579.0,-445.0,,
engine_r_harness_looms,09 Engine starboard,engines,rubber,8088,7852,11186.8,13052.3,317.9,1282.1,-265.0,473.5,,
engine_r_harnesses,09 Engine starboard,engines,rubber,168,144,11251.1,11326.9,381.4,1218.6,-488.3,-253.5,,
engine_r_hp_front_drum,09 Engine starboard,engines,titanium,960,960,11012.2,11214.8,518.0,1082.0,-282.0,282.0,hp,-1.0
engine_r_hpc_drum,09 Engine starboard,engines,titanium,18240,18240,11214.8,11797.0,505.0,1095.0,-295.0,295.0,hp,-1.0
engine_r_hpt_disc,09 Engine starboard,engines,nickel,3840,3840,12112.6,12205.2,538.0,1062.0,-262.0,262.0,hp,-1.0
engine_r_hydraulic_lines,09 Engine starboard,engines,steel,5340,5300,10854.0,13223.8,376.6,1187.7,-627.7,-309.5,,
