part,group,material,pieces,size_x_mm,size_y_mm,size_z_mm
rudder_act_l,02 Flying surfaces,steel,4,300.0,34.1,34.1
rudder_act_r,02 Flying surfaces,steel,4,300.0,34.1,34.1
rudder_l,02 Flying surfaces,skin_dark,5,1009.4,903.9,1410.5
rudder_r,02 Flying surfaces,skin_dark,5,1009.4,903.9,1410.5
wing_l,02 Flying surfaces,skin,2,7019.6,4880.0,398.5
wing_r,02 Flying surfaces,skin,2,7019.6,4880.0,398.5
intake_duct_l,03 Intakes,skin,1,5468.5,1290.8,1190.1
intake_duct_r,03 Intakes,skin,1,5468.5,1290.8,1190.1
canopy_actuator_l,04 Cockpit,steel,3,128.5,36.0,195.3
canopy_actuator_r,04 Cockpit,steel,3,128.5,36.0,195.3
canopy_actuator_rod_l,04 Cockpit,steel,2,103.1,24.0,166.2
canopy_actuator_rod_r,04 Cockpit,steel,2,103.1,24.0,166.2
canopy_frame_l,04 Cockpit,skin_dark,1,2709.7,282.7,313.4
canopy_frame_r,04 Cockpit,skin_dark,1,2709.7,282.7,313.4
canopy_glass,04 Cockpit,canopy,1,2760.0,910.0,541.5
canopy_hinge,04 Cockpit,steel,4,96.0,420.0,121.4
canopy_locks,04 Cockpit,steel,12,1652.0,888.0,159.6
canopy_rim,04 Cockpit,skin_dark,27,2657.6,880.0,374.2
cockpit_controls,04 Cockpit,cockpit,6,380.0,850.0,403.3
cockpit_hud,04 Cockpit,cockpit,2,159.2,200.0,188.1
cockpit_panel,04 Cockpit,cockpit,4,240.0,560.0,556.0
cockpit_tub,04 Cockpit,cockpit,5,2350.0,940.0,445.0
seat,04 Cockpit,seat,5,879.0,520.0,938.9
seat_bulkhead,04 Cockpit,structure,12,317.7,922.0,923.7
bay_door_act_1_l,05 Weapons bay,steel,3,30.0,31.0,153.4
bay_door_act_1_r,05 Weapons bay,steel,3,30.0,31.0,153.4
bay_door_act_2_l,05 Weapons bay,steel,3,30.0,31.0,153.4
bay_door_act_2_r,05 Weapons bay,steel,3,30.0,31.0,153.4
bay_door_act_rod_1_l,05 Weapons bay,steel,3,44.0,18.0,59.3
bay_door_act_rod_1_r,05 Weapons bay,steel,3,44.0,18.0,59.3
bay_door_act_rod_2_l,05 Weapons bay,steel,3,44.0,18.0,59.3
bay_door_act_rod_2_r,05 Weapons bay,steel,3,44.0,18.0,59.3
bay_door_l,05 Weapons bay,skin_dark,5,3798.0,402.9,183.4
bay_door_r,05 Weapons bay,skin_dark,5,3798.0,402.9,183.4
bay_structure,05 Weapons bay,structure,5,3816.0,826.0,616.5
gun,05 Weapons bay,steel,12,1730.6,150.0,198.2
launchers,05 Weapons bay,steel,12,1500.0,650.0,83.0
missiles,05 Weapons bay,missile,36,3650.0,783.8,183.8
gear_actuator_main_l,06 Landing gear,steel,3,152.0,76.0,91.0
gear_actuator_main_r,06 Landing gear,steel,3,152.0,76.0,91.0
gear_actuator_nose,06 Landing gear,steel,3,98.0,152.0,98.0
gear_bay_main_l,06 Landing gear,steel,8,876.0,735.1,797.0
gear_bay_main_r,06 Landing gear,steel,8,876.0,735.1,797.0
gear_bay_nose,06 Landing gear,steel,9,1706.0,426.0,744.9
gear_door_act_main_l,06 Landing gear,steel,3,30.0,62.1,152.3
gear_door_act_main_r,06 Landing gear,steel,3,30.0,62.1,152.3
gear_door_act_nose_l,06 Landing gear,steel,3,32.5,59.3,152.6
gear_door_act_nose_r,06 Landing gear,steel,3,32.5,59.3,152.6
gear_door_act_rod_main_l,06 Landing gear,steel,3,44.0,45.9,145.4
gear_door_act_rod_main_r,06 Landing gear,steel,3,44.0,45.9,145.4
gear_door_act_rod_nose_l,06 Landing gear,steel,3,44.0,43.9,149.2
gear_door_act_rod_nose_r,06 Landing gear,steel,3,44.0,43.9,149.2
gear_door_main_l,06 Landing gear,skin_dark,3,858.1,316.7,741.6
gear_door_main_r,06 Landing gear,skin_dark,3,858.1,316.7,741.6
gear_door_nose_l,06 Landing gear,skin_dark,3,1699.3,118.4,365.6
gear_door_nose_r,06 Landing gear,skin_dark,3,1699.3,118.4,365.6
gear_leg_door_main_l,06 Landing gear,skin_dark,3,234.0,197.1,755.8
gear_leg_door_main_r,06 Landing gear,skin_dark,3,234.0,197.1,755.8
gear_main_l,06 Landing gear,steel,13,320.0,364.0,1378.0
gear_main_r,06 Landing gear,steel,13,320.0,364.0,1378.0
gear_nose,06 Landing gear,steel,16,264.4,418.0,1370.0
gear_pivot_door_main_l,06 Landing gear,skin_dark,3,24.5,238.8,244.1
gear_pivot_door_main_r,06 Landing gear,skin_dark,3,24.5,238.8,244.1
gear_uplock_nose,06 Landing gear,steel,6,39.0,70.0,251.0
tyre_main_l,06 Landing gear,rubber,1,700.0,230.0,700.0
tyre_main_r,06 Landing gear,rubber,1,700.0,230.0,700.0
tyres_nose,06 Landing gear,rubber,2,520.0,380.0,520.0
wheel_main_l,06 Landing gear,wheel,14,405.0,218.5,405.0
wheel_main_r,06 Landing gear,wheel,14,405.0,218.5,405.0
wheels_nose,06 Landing gear,wheel,24,306.0,372.5,306.0
engine_mounts,07 Structure,steel,8,1721.0,3127.0,622.8
formation_light_l,07 Structure,lens_formation,2,9704.4,1477.2,1099.6
formation_light_r,07 Structure,lens_formation,2,9704.4,1477.2,1099.6
frame_2250,07 Structure,structure,3,40.0,960.9,822.4
frame_3270,07 Structure,structure,4,40.0,1281.8,1000.8
frame_5119,07 Structure,structure,3,40.0,2459.3,1379.1
frame_5680,07 Structure,structure,4,40.0,2949.2,1551.8
frame_6800,07 Structure,structure,6,40.0,3280.0,1618.9
frame_7900,07 Structure,structure,4,40.0,3280.0,1516.6
frame_9000,07 Structure,structure,3,40.0,3280.0,1453.9
frame_engine_aft,07 Structure,structure,2,40.0,2617.4,1430.7
frame_engine_fwd,07 Structure,structure,2,40.0,3414.1,1424.9
fuel_feed_l,07 Structure,steel,3,522.0,560.0,91.8
fuel_feed_r,07 Structure,steel,3,522.0,560.0,91.8
fuel_gallery,07 Structure,steel,10,4006.0,64.0,63.0
fuel_tank_centre,07 Structure,tank,1,1160.5,2500.0,1424.3
fuel_tank_fwd_1,07 Structure,tank,1,1081.0,3200.0,1115.9
fuel_tank_fwd_2,07 Structure,tank,1,1061.0,3200.0,1024.2
fuel_tank_fwd_3,07 Structure,tank,1,1061.0,3200.0,892.6
fuel_tank_wing_l,07 Structure,tank,1,3172.2,2750.0,266.1
fuel_tank_wing_r,07 Structure,tank,1,3172.2,2750.0,266.1
keel,07 Structure,structure,1,2650.0,30.0,1107.1
radar_array,07 Structure,radar,2,344.4,500.0,482.2
radar_bulkhead,07 Structure,radar,1,12.0,950.6,680.7
refuel_receptacle,07 Structure,steel,2,144.0,144.0,1081.8
engine_l_ab_fuel_control,08 Engine port,steel,7,266.0,120.0,113.1
engine_l_ab_fuel_manifold,08 Engine port,steel,19,108.0,982.0,982.0
engine_l_ab_igniter,08 Engine port,steel,3,34.0,116.4,183.8
engine_l_ab_spray_rings,08 Engine port,inconel,147,106.0,732.0,732.0
engine_l_ab_spraybars,08 Engine port,inconel,224,50.0,951.7,951.7
engine_l_augmentor_case,08 Engine port,cmc,1,830.0,868.0,868.0
engine_l_augmentor_liner,08 Engine port,cmc,2,650.0,856.0,856.0
engine_l_blades_hpc_r1,08 Engine port,titanium,36,48.6,633.6,633.6
engine_l_blades_hpc_r2,08 Engine port,titanium,42,42.4,628.2,628.6
engine_l_blades_hpc_r3,08 Engine port,titanium,48,36.3,623.3,623.3
engine_l_blades_hpc_r4,08 Engine port,nickel,54,31.3,620.3,620.5
engine_l_blades_hpc_r5,08 Engine port,nickel,64,25.2,618.2,618.2
engine_l_blades_hpc_r6,08 Engine port,nickel,76,20.1,616.4,616.4
engine_l_blades_hpt_r,08 Engine port,nickel_hot,56,48.0,663.4,663.4
engine_l_blades_lpt_r,08 Engine port,nickel_hot,46,60.3,729.3,729.8
engine_l_bleed_valve,08 Engine port,titanium,5,94.0,80.0,105.0
engine_l_brg_1_lp_roller,08 Engine port,steel,17,22.0,200.0,200.0
engine_l_brg_2_lp_ball,08 Engine port,steel,17,24.4,200.0,200.0
engine_l_brg_3_hp_ball,08 Engine port,steel,24,28.4,316.0,316.0
engine_l_brg_4_hp_roller,08 Engine port,steel,25,22.0,312.0,312.0
engine_l_brg_5_lp_roller,08 Engine port,steel,18,22.0,196.0,196.0
engine_l_case_combustor,08 Engine port,casing,1,346.0,764.0,764.0
engine_l_case_fan,08 Engine port,casing,1,433.0,892.0,892.0
engine_l_case_hpc,08 Engine port,casing,1,560.0,654.0,654.0
engine_l_case_outer_aft,08 Engine port,inconel,1,1490.0,940.0,940.0
engine_l_case_outer_fwd,08 Engine port,casing,1,935.0,892.0,892.0
engine_l_case_ribs,08 Engine port,casing,86,2390.0,952.0,952.0
engine_l_case_turbine,08 Engine port,casing,1,334.0,764.0,764.0
engine_l_cdfs_blisk,08 Engine port,titanium,38,100.1,763.7,763.7
engine_l_combustor_dome,08 Engine port,nickel_hot,1,10.0,691.7,691.7
engine_l_combustor_inner_case,08 Engine port,nickel,1,340.0,590.0,590.0
engine_l_combustor_liner_inner,08 Engine port,cmc,1,256.0,524.0,524.0
engine_l_combustor_liner_outer,08 Engine port,cmc,1,256.0,700.0,700.0
engine_l_combustor_mount_pins,08 Engine port,casing,36,12.0,750.0,740.7
engine_l_containment_wrap,08 Engine port,composite,1,330.0,917.3,917.3
engine_l_coolant_lines,08 Engine port,copper,4,354.0,47.6,90.2
engine_l_core_cowl,08 Engine port,titanium,1,560.0,688.0,688.0
engine_l_core_splitter,08 Engine port,casing,1,85.0,698.0,698.0
engine_l_diffuser,08 Engine port,nickel,90,28.0,622.0,621.8
engine_l_fadec_a,08 Engine port,composite,5,340.0,138.5,163.3
engine_l_fadec_b,08 Engine port,composite,5,340.0,138.5,163.3
engine_l_fan_blisk_1,08 Engine port,titanium,19,152.5,866.4,868.7
engine_l_fan_blisk_2,08 Engine port,titanium,31,103.0,840.8,842.9
engine_l_fan_drum,08 Engine port,titanium,1,89.0,437.1,437.1
engine_l_fan_frame_hub,08 Engine port,casing,1,117.0,588.0,588.0
engine_l_fan_frame_struts,08 Engine port,casing,8,100.0,858.3,858.3
engine_l_flameholder,08 Engine port,cmc,35,46.3,844.0,844.0
engine_l_flange_fan_aft,08 Engine port,casing,37,22.0,880.0,880.0
engine_l_flange_inlet,08 Engine port,casing,37,22.0,956.0,956.0
engine_l_flange_outer_aft,08 Engine port,inconel,41,22.0,984.0,984.0
engine_l_flange_outer_mid,08 Engine port,casing,41,22.0,964.0,964.0
engine_l_front_harness,08 Engine port,rubber,4,423.9,871.9,721.1
engine_l_fuel_lines,08 Engine port,steel,4,1731.1,275.1,206.0
engine_l_fuel_manifold,08 Engine port,steel,1,20.0,969.5,969.5
engine_l_fuel_metering_unit,08 Engine port,steel,1,160.0,140.0,60.0
engine_l_fuel_nozzles,08 Engine port,steel,36,42.0,946.6,958.0
engine_l_fuel_oil_hx,08 Engine port,steel,10,130.0,66.4,66.4
engine_l_fuel_oil_hx_lines,08 Engine port,steel,2,98.0,11.8,30.0
engine_l_fuel_pump,08 Engine port,steel,2,104.0,80.0,80.0
engine_l_gearbox,08 Engine port,casing,6,500.0,238.0,128.0
engine_l_gearbox_mounts,08 Engine port,casing,4,461.0,156.0,52.3
engine_l_generator_l,08 Engine port,casing,9,220.0,134.0,134.0
engine_l_generator_r,08 Engine port,casing,9,220.0,134.0,134.0
engine_l_harness_looms,08 Engine port,rubber,20,1865.5,964.3,738.5
engine_l_harnesses,08 Engine port,rubber,2,75.8,837.2,234.8
engine_l_hp_front_drum,08 Engine port,titanium,1,202.5,564.0,564.0
engine_l_hpc_drum,08 Engine port,titanium,8,582.2,590.0,590.0
engine_l_hpt_disc,08 Engine port,nickel,2,92.6,524.0,524.0
engine_l_hydraulic_lines,08 Engine port,steel,4,2369.8,811.1,318.1
engine_l_hydraulic_pump,08 Engine port,steel,1,90.0,76.0,76.0
engine_l_igniters,08 Engine port,steel,4,26.0,866.1,88.9
engine_l_ignition_exciters,08 Engine port,casing,15,970.0,901.0,194.7
engine_l_ignition_leads,08 Engine port,steel,8,1221.6,897.1,241.8
engine_l_inlet_case,08 Engine port,casing,1,182.0,892.0,892.0
engine_l_intermediate_case,08 Engine port,titanium,1,1595.0,852.0,852.0
engine_l_line_clamps,08 Engine port,steel,96,2069.4,721.8,968.7
engine_l_lpt_disc,08 Engine port,nickel,2,70.5,501.7,501.7
engine_l_mixer,08 Engine port,nickel_hot,1,180.0,829.0,829.0
engine_l_mode_valve,08 Engine port,titanium,25,69.9,847.6,847.6
engine_l_mode_valve_actuators,08 Engine port,steel,10,164.0,710.3,54.6
engine_l_mount_aft_lug,08 Engine port,steel,4,90.0,70.0,56.0
engine_l_mount_trunnions,08 Engine port,steel,4,88.0,960.0,88.0
engine_l_nozzle_actuators,08 Engine port,steel,24,200.0,894.1,894.1
engine_l_nozzle_conv_flaps,08 Engine port,cmc,32,180.0,883.9,883.9
engine_l_nozzle_conv_seals,08 Engine port,cmc,16,179.0,843.6,843.6
engine_l_nozzle_div_flaps,08 Engine port,cmc,32,220.0,730.1,730.1
engine_l_nozzle_div_links,08 Engine port,steel,48,60.0,803.0,803.0
engine_l_nozzle_div_seals,08 Engine port,cmc,16,219.0,693.0,693.0
engine_l_nozzle_ext_flaps,08 Engine port,inconel,16,400.0,940.0,940.0
engine_l_nozzle_hinges,08 Engine port,steel,48,200.0,945.6,945.6
engine_l_nozzle_static_ring,08 Engine port,inconel,48,100.0,980.0,980.0
engine_l_nozzle_unison_ring,08 Engine port,inconel,17,16.0,900.0,900.0
engine_l_oil_lines,08 Engine port,steel,2,1421.9,12.0,410.9
engine_l_oil_tank,08 Engine port,steel,1,184.0,112.0,112.0
engine_l_sensor_probes,08 Engine port,steel,56,1850.0,496.6,64.8
engine_l_service_struts,08 Engine port,casing,4,90.0,924.0,924.0
engine_l_shaft_hp,08 Engine port,steel,38,1388.0,302.0,302.0
engine_l_shaft_lp,08 Engine port,steel,1,2002.0,124.0,124.0
engine_l_spinner,08 Engine port,titanium,1,228.0,256.0,256.0
engine_l_sump_front,08 Engine port,steel,4,323.0,572.0,572.0
engine_l_sump_rear,08 Engine port,steel,3,82.0,503.7,503.7
engine_l_swirlers,08 Engine port,nickel_hot,198,26.0,641.1,650.0
engine_l_swivel_bearing_1,08 Engine port,steel,151,24.0,1020.0,1020.0
engine_l_swivel_bearing_2,08 Engine port,steel,151,429.1,941.7,1020.0
engine_l_swivel_bearing_3,08 Engine port,steel,151,429.1,941.7,1020.0
engine_l_swivel_coupling_1,08 Engine port,steel,9,73.0,88.8,88.8
engine_l_swivel_coupling_2,08 Engine port,steel,7,83.4,102.3,88.8
engine_l_swivel_coupling_3,08 Engine port,steel,7,83.4,102.3,88.8
engine_l_swivel_drive_1,08 Engine port,steel,6,135.0,102.5,102.5
engine_l_swivel_drive_2,08 Engine port,steel,6,164.0,152.8,68.0
engine_l_swivel_drive_3,08 Engine port,steel,6,164.0,152.8,68.0
engine_l_swivel_duct_aft,08 Engine port,inconel,93,497.3,980.0,980.0
engine_l_swivel_duct_fwd,08 Engine port,inconel,93,497.3,980.0,980.0
engine_l_swivel_duct_mid,08 Engine port,inconel,93,914.7,958.0,980.0
engine_l_swivel_fixed_ring,08 Engine port,inconel,55,30.0,980.0,980.0
engine_l_swivel_hyd_aft,08 Engine port,steel,12,113.9,979.5,979.5
engine_l_swivel_hyd_fwd,08 Engine port,steel,4,478.4,1125.2,876.1
engine_l_swivel_hyd_mid,08 Engine port,steel,4,844.3,305.9,378.7
engine_l_swivel_rotary_union,08 Engine port,steel,3,66.0,83.8,83.8
engine_l_tailcone,08 Engine port,cmc,1,544.0,494.0,494.0
engine_l_tms_hx,08 Engine port,copper,96,286.0,919.3,919.3
engine_l_towershaft,08 Engine port,steel,2,44.0,44.0,360.0
engine_l_vanes_cdfs,08 Engine port,titanium,61,67.6,763.9,763.9
engine_l_vanes_fan_s1,08 Engine port,titanium,41,83.0,860.2,860.2
engine_l_vanes_fan_s2,08 Engine port,titanium,53,85.5,830.7,830.7
engine_l_vanes_hpc_igv,08 Engine port,nickel,45,124.1,644.0,644.0
engine_l_vanes_hpc_s1,08 Engine port,nickel,55,54.6,637.0,636.6
engine_l_vanes_hpc_s2,08 Engine port,nickel,61,49.4,631.9,631.9
engine_l_vanes_hpc_s3,08 Engine port,nickel,67,44.1,627.6,627.3
engine_l_vanes_hpc_s4,08 Engine port,nickel,75,38.5,625.4,625.1
engine_l_vanes_hpc_s5,08 Engine port,nickel,89,31.2,623.4,623.4
engine_l_vanes_hpt_ngv,08 Engine port,cmc,37,65.0,658.5,658.5
engine_l_vanes_mtf,08 Engine port,nickel_hot,17,118.0,716.0,716.0
engine_l_vsv_actuation,08 Engine port,steel,162,242.6,672.0,672.0
engine_r_ab_fuel_control,09 Engine starboard,steel,7,266.0,120.0,113.1
engine_r_ab_fuel_manifold,09 Engine starboard,steel,19,108.0,982.0,982.0
engine_r_ab_igniter,09 Engine starboard,steel,3,34.0,116.4,183.8
engine_r_ab_spray_rings,09 Engine starboard,inconel,147,106.0,732.0,732.0
engine_r_ab_spraybars,09 Engine starboard,inconel,224,50.0,951.7,951.7
engine_r_augmentor_case,09 Engine starboard,cmc,1,830.0,868.0,868.0
engine_r_augmentor_liner,09 Engine starboard,cmc,2,650.0,856.0,856.0
engine_r_blades_hpc_r1,09 Engine starboard,titanium,36,48.6,633.6,633.6
engine_r_blades_hpc_r2,09 Engine starboard,titanium,42,42.4,628.2,628.6
engine_r_blades_hpc_r3,09 Engine starboard,titanium,48,36.3,623.3,623.3
engine_r_blades_hpc_r4,09 Engine starboard,nickel,54,31.3,620.3,620.5
engine_r_blades_hpc_r5,09 Engine starboard,nickel,64,25.2,618.2,618.2
engine_r_blades_hpc_r6,09 Engine starboard,nickel,76,20.1,616.4,616.4
engine_r_blades_hpt_r,09 Engine starboard,nickel_hot,56,48.0,663.4,663.4
engine_r_blades_lpt_r,09 Engine starboard,nickel_hot,46,60.3,729.3,729.8
engine_r_bleed_valve,09 Engine starboard,titanium,5,94.0,80.0,105.0
engine_r_brg_1_lp_roller,09 Engine starboard,steel,17,22.0,200.0,200.0
engine_r_brg_2_lp_ball,09 Engine starboard,steel,17,24.4,200.0,200.0
engine_r_brg_3_hp_ball,09 Engine starboard,steel,24,28.4,316.0,316.0
engine_r_brg_4_hp_roller,09 Engine starboard,steel,25,22.0,312.0,312.0
engine_r_brg_5_lp_roller,09 Engine starboard,steel,18,22.0,196.0,196.0
engine_r_case_combustor,09 Engine starboard,casing,1,346.0,764.0,764.0
engine_r_case_fan,09 Engine starboard,casing,1,433.0,892.0,892.0
engine_r_case_hpc,09 Engine starboard,casing,1,560.0,654.0,654.0
engine_r_case_outer_aft,09 Engine starboard,inconel,1,1490.0,940.0,940.0
engine_r_case_outer_fwd,09 Engine starboard,casing,1,935.0,892.0,892.0
engine_r_case_ribs,09 Engine starboard,casing,86,2390.0,952.0,952.0
engine_r_case_turbine,09 Engine starboard,casing,1,334.0,764.0,764.0
engine_r_cdfs_blisk,09 Engine starboard,titanium,38,100.1,763.7,763.7
engine_r_combustor_dome,09 Engine starboard,nickel_hot,1,10.0,691.7,691.7
engine_r_combustor_inner_case,09 Engine starboard,nickel,1,340.0,590.0,590.0
engine_r_combustor_liner_inner,09 Engine starboard,cmc,1,256.0,524.0,524.0
engine_r_combustor_liner_outer,09 Engine starboard,cmc,1,256.0,700.0,700.0
engine_r_combustor_mount_pins,09 Engine starboard,casing,36,12.0,750.0,740.7
engine_r_containment_wrap,09 Engine starboard,composite,1,330.0,917.3,917.3
engine_r_coolant_lines,09 Engine starboard,copper,4,354.0,47.6,90.2
engine_r_core_cowl,09 Engine starboard,titanium,1,560.0,688.0,688.0
engine_r_core_splitter,09 Engine starboard,casing,1,85.0,698.0,698.0
engine_r_diffuser,09 Engine starboard,nickel,90,28.0,622.0,621.8
engine_r_fadec_a,09 Engine starboard,composite,5,340.0,138.5,163.3
engine_r_fadec_b,09 Engine starboard,composite,5,340.0,138.5,163.3
engine_r_fan_blisk_1,09 Engine starboard,titanium,19,152.5,866.4,868.7
engine_r_fan_blisk_2,09 Engine starboard,titanium,31,103.0,840.8,842.9
engine_r_fan_drum,09 Engine starboard,titanium,1,89.0,437.1,437.1
engine_r_fan_frame_hub,09 Engine starboard,casing,1,117.0,588.0,588.0
engine_r_fan_frame_struts,09 Engine starboard,casing,8,100.0,858.3,858.3
engine_r_flameholder,09 Engine starboard,cmc,35,46.3,844.0,844.0
engine_r_flange_fan_aft,09 Engine starboard,casing,37,22.0,880.0,880.0
engine_r_flange_inlet,09 Engine starboard,casing,37,22.0,956.0,956.0
engine_r_flange_outer_aft,09 Engine starboard,inconel,41,22.0,984.0,984.0
engine_r_flange_outer_mid,09 Engine starboard,casing,41,22.0,964.0,964.0
engine_r_front_harness,09 Engine starboard,rubber,4,423.9,871.9,721.1
engine_r_fuel_lines,09 Engine starboard,steel,4,1731.1,275.1,206.0
engine_r_fuel_manifold,09 Engine starboard,steel,1,20.0,969.5,969.5
engine_r_fuel_metering_unit,09 Engine starboard,steel,1,160.0,140.0,60.0
engine_r_fuel_nozzles,09 Engine starboard,steel,36,42.0,946.6,958.0
engine_r_fuel_oil_hx,09 Engine starboard,steel,10,130.0,66.4,66.4
engine_r_fuel_oil_hx_lines,09 Engine starboard,steel,2,98.0,11.8,30.0
engine_r_fuel_pump,09 Engine starboard,steel,2,104.0,80.0,80.0
engine_r_gearbox,09 Engine starboard,casing,6,500.0,238.0,128.0
engine_r_gearbox_mounts,09 Engine starboard,casing,4,461.0,156.0,52.3
engine_r_generator_l,09 Engine starboard,casing,9,220.0,134.0,134.0
engine_r_generator_r,09 Engine starboard,casing,9,220.0,134.0,134.0
engine_r_harness_looms,09 Engine starboard,rubber,20,1865.5,964.3,738.5
engine_r_harnesses,09 Engine starboard,rubber,2,75.8,837.2,234.8
engine_r_hp_front_drum,09 Engine starboard,titanium,1,202.5,564.0,564.0
engine_r_hpc_drum,09 Engine starboard,titanium,8,582.2,590.0,590.0
engine_r_hpt_disc,09 Engine starboard,nickel,2,92.6,524.0,524.0
engine_r_hydraulic_lines,09 Engine starboard,steel,4,2369.8,811.1,318.1
engine_r_hydraulic_pump,09 Engine starboard,steel,1,90.0,76.0,76.0
engine_r_igniters,09 Engine starboard,steel,4,26.0,866.1,88.9
engine_r_ignition_exciters,09 Engine starboard,casing,15,970.0,901.0,194.7
engine_r_ignition_leads,09 Engine starboard,steel,8,1221.6,897.1,241.8
engine_r_inlet_case,09 Engine starboard,casing,1,182.0,892.0,892.0
engine_r_intermediate_case,09 Engine starboard,titanium,1,1595.0,852.0,852.0
engine_r_line_clamps,09 Engine starboard,steel,96,2069.4,721.8,968.7
engine_r_lpt_disc,09 Engine starboard,nickel,2,70.5,501.7,501.7
engine_r_mixer,09 Engine starboard,nickel_hot,1,180.0,829.0,829.0
engine_r_mode_valve,09 Engine starboard,titanium,25,69.9,847.6,847.6
engine_r_mode_valve_actuators,09 Engine starboard,steel,10,164.0,710.3,54.6
engine_r_mount_aft_lug,09 Engine starboard,steel,4,90.0,70.0,56.0
engine_r_mount_trunnions,09 Engine starboard,steel,4,88.0,960.0,88.0
engine_r_nozzle_actuators,09 Engine starboard,steel,24,200.0,894.1,894.1
engine_r_nozzle_conv_flaps,09 Engine starboard,cmc,32,180.0,883.9,883.9
engine_r_nozzle_conv_seals,09 Engine starboard,cmc,16,179.0,843.6,843.6
engine_r_nozzle_div_flaps,09 Engine starboard,cmc,32,220.0,730.1,730.1
engine_r_nozzle_div_links,09 Engine starboard,steel,48,60.0,803.0,803.0
engine_r_nozzle_div_seals,09 Engine starboard,cmc,16,219.0,693.0,693.0
engine_r_nozzle_ext_flaps,09 Engine starboard,inconel,16,400.0,940.0,940.0
engine_r_nozzle_hinges,09 Engine starboard,steel,48,200.0,945.6,945.6
engine_r_nozzle_static_ring,09 Engine starboard,inconel,48,100.0,980.0,980.0
engine_r_nozzle_unison_ring,09 Engine starboard,inconel,17,16.0,900.0,900.0
engine_r_oil_lines,09 Engine starboard,steel,2,1421.9,12.0,410.9
engine_r_oil_tank,09 Engine starboard,steel,1,184.0,112.0,112.0
engine_r_sensor_probes,09 Engine starboard,steel,56,1850.0,496.6,64.8
engine_r_service_struts,09 Engine starboard,casing,4,90.0,924.0,924.0
engine_r_shaft_hp,09 Engine starboard,steel,38,1388.0,302.0,302.0
engine_r_shaft_lp,09 Engine starboard,steel,1,2002.0,124.0,124.0
engine_r_spinner,09 Engine starboard,titanium,1,228.0,256.0,256.0
engine_r_sump_front,09 Engine starboard,steel,4,323.0,572.0,572.0
engine_r_sump_rear,09 Engine starboard,steel,3,82.0,503.7,503.7
engine_r_swirlers,09 Engine starboard,nickel_hot,198,26.0,641.1,650.0
engine_r_swivel_bearing_1,09 Engine starboard,steel,151,24.0,1020.0,1020.0
